label,review
1,﻿更博了，爆照了，帅的呀，就是越来越爱你！生快傻缺[爱你][爱你][爱你]
1,@张晓鹏jonathan 土耳其的事要认真对待[哈哈]，否则直接开除。@丁丁看世界 很是细心，酒店都全部OK啦。
1,姑娘都羡慕你呢…还有招财猫高兴……//@爱在蔓延-JC:[哈哈]小学徒一枚，等着明天见您呢//@李欣芸SharonLee:大佬范儿[书呆子]
1,美~~~~~[爱你]
1,梦想有多大，舞台就有多大![鼓掌]
1,[花心][鼓掌]//@小懒猫Melody2011: [春暖花开]
1,某问答社区上收到一大学生发给我的私信：“偶喜欢阿姨！偶是阿姨控！”我回他：“阿姨稀饭小盆友！偶是小盆友控！” [哈哈]
1,吃货们无不啧啧称奇，好不喜欢！PS:写错一个字！[哈哈]@森林小天使-波琪 @SEVEN厦门摄影师 @日月星辰-心在路上 @每种型号生两胎 @志远天下行 @监控防盗安装XM @创意美食simon哥 @漫游者-强子 @陈小kitty猫@游子的歌@solo在厦门
1,"#Sweet Morning#From now on,love yourself,enjoy living then smile.从现在开始，爱自己，享受生活并且微笑。[呵呵] [嘻嘻] [哈哈] [挤眼] [太开心] 早安、甜心们"
1,【霍思燕剖腹产下“小江江” 老公落泪】今晨9时霍思燕产下一名男婴，宝宝重8斤3两，母子平安。杜江的脸上洋溢着做爸爸的欣喜：宝宝小名叫“小江江”，眼睛像他，鼻子和嘴巴则像霍思燕，看到宝贝就忍不住落泪！恭喜@杜江侦察记 @霍思燕 ，祝福“小江江”在爱里健康地成长[爱你]...http://t.cn/z8EwSPU
1,[鼓掌]//@慕春彦: 一流的经纪公司是超模的摇篮！[鼓掌] //@姚戈:东方宾利强大的名模军团！
1,真好//@宁波华侨豪生大酒店：[可爱] [害羞]
1,"第一次见到有花瓣的面膜，一片抵普通面膜好几片 [哈哈]！补水神器啊，一帖见效！ 睡前一片，15分钟超神奇膜法，第二天起来你会发现你脸又白又嫩还有光泽，持续几天皮肤好像剥了壳的鸡蛋一样白白嫩嫩的[太开心]！ 明星推荐，美妆老师私藏的神奇""膜""法！8片礼盒装抢购地址>>>（去评论中找链接哦）"
1,好感动[亲亲]大家都陆陆续续收到超极本尼泊尔的奖品了，没想到你还带着去看瓷房子~祝蜜月快乐哦
1,"[雪]大象感觉好冷喔。。。 //@刑警叔叔: @小豆冰棍J202,@朱大象。//@新浪短信微博:大象放冰箱分三步，绑定手机也分三步。大象放冰箱很冷，微博绑了手机更安全哦～[可爱]"
1,[哈哈] //@维他命羊:探子！[偷笑] //@每日维他命Beijing: [偷笑]@曙光ruirui //@不赖赖: 店里来了探子竟不知 //@薄荷Rebecca:@不赖赖 @冷山雪具 赖老板的货品华丽丽的出镜鸟[鼓掌]
1,更要感激部门同事@Miss猫小姐 @罗罗不落 和尚未开博的小徐同学及@番茄宝宝303 的辛苦付出，让我们携手前行、踏浪远航，创造属于我们的无限炫彩[爱你]
1,陪看，有三陪嫌疑，[哈哈]
1,还有 @星外星周小川 ，各位都是好声音啊，演唱会就星外星筹办了[哈哈] //@陈文彪BC: 回复@俞文辉:持续发生，你的演唱会什么时候开啊，你也是传说中的中国好声音啊，hoho 同意的举手 @天拓黄挺 @叶轩_汉草荟 @loson @cocon8 @张谦 //@俞文辉:有爱心，期待百首童谣！ //@陈文彪BC:女儿，你有音乐唱了
1,第一次见，真心分辨不出是谁是谁，更别提真假了[嘻嘻]
1,哦，是双子男吗？旅游版组的成分好复杂呢[抱抱] //@玫瑰禁?：欢迎双子男。//@秦洲同：赶紧加上V，要不然走丢了不好找。//@雨齐Daisy：不错呀~ 新同事要加V么…… @伊比利亚火腿
1,[哈哈] //@失恋专属:哈哈，笑死我了
1,#轻松一刻# 笑成狗了！主人太有才了！[哈哈]
1,踏踏实实喝奶吧[哈哈]
1,#约惠海航 圆梦飞翔#【惠享直减】购票购票购票，直减直减直减[打哈欠] 这不冲突，也很科学，来海航官网购票，管够，管实惠http://t.cn/zRpYB9r [嘻嘻] 每天500个名额，20元的直减，ok的赶快来[赞] 今天第二波15点开始~
1,角度问题[哈哈] ，童子鸡，马子不大的//@-小K妈-:好肥的一只鸡啊！怎么感觉有点“变异”了啊！[哈哈][疑问]
1,程哥哥最近一直对着小蹦同学各种拍呀拍[照相机]//@小予CAT: [心] 好久没给他们拍照了[哈哈] //@ajoin: @小予CAT
1,理解用户的挣扎//@caoz：http://t.cn/anYWDI ?嗦很多，答案参见如上链接。@solaryf @土豆泥炖土豆 @limingx @dms-baidu //@caoz：排第一的，是4399小游戏[哈哈] .....百度目标寻址搜索的比例在所有搜索比例多少，趋势如何？与谷歌，搜搜对比如何，为什么？
1,这个可以感受一下。//@黄佟佟: [嘻嘻]//@吴筱羽: 北京??州真便宜啊，??有需要打?的的???。@子宇童鞋 @范宇翔 //@赵妍Alicia-chiu:这。。。//@白愁飞: //@时代周报王刚: 转发微博。
1,LV的哦～～～哦～～～//@积分宝贝: //@金沙江_朱啸虎: [哈哈] //@量化投资_丁鹏: /精辟啊！！/@江苏徐胖子:富，就要富在别人看不到的地方！富在别人看不到的时候！！//@Fiorina_科锐总监_金融猎头:[偷笑] /@量化投资_丁鹏:买个LV包包挎在身上，别人能看得到，知道
1,支持兰老师[鼓掌][鼓掌][鼓掌]
1,来自雪山脚下今年的竹笋系列#人没动，物先行#[尴尬]朗园店开业准备中[爱你]@懒人业余餐厅郎园店
1,免费泡面已经为大家准备了，以后晚上饿了再也不用到处找吃的东西了[给力][嘻嘻][带着微博去旅行][兔子][熊猫]
1,回复@张赫z_ryan:?！[嘻嘻]感慨而已！u never know！ //@张赫z_ryan:都失恋呢被？[嘻嘻]
1,跟参与汽车摇号一个心理，我中不了，也增加了别人中的难度！[哈哈]@夕阳牛 @air甜馨 @E宝宝柠檬
1,纯净高雅的宝蓝，搭配华丽的金色作为点缀，能够提升整体的时尚度打造极致迷人气场，十分适合聚会以及派对穿着！连衣裙： Talbot Runhof 外套： rag & bone 鞋： Giuseppe Zanotti 手包： Jimmy Choo[爱你]【私享穿衣顾问微信：FashionTalent33 】
1,#中国梦想秀#@熊黛林Lynn 姐姐变身“礼物”帮助一抹金圆梦，送上了迪斯尼乐园的邀请函喔！！[鼓掌]美是无数梦想的起点，恭喜我们Age48的姐姐们获得美丽绽放奖，你们的美丽来自你们正能量的心态，恭喜姐姐们，小伙伴们别忘了听姐姐们的话，永远不要放弃自己的梦想！！[good]
1,@不可比方 你跑不掉啦~！这辈子和我栓在一起。[嘻嘻]
1,这不有吗[哈哈][哈哈][哈哈]
1,不会吧？[吃惊]俺刚刚从餐厅回来，没见到主任啊！[嘻嘻]雪倒是下得很欢喜的样子。[雪][雪][雪][雪人][雪人][雪人][手套][围脖][温暖帽子] //@侯宁:主饪你是在家呢还是喝多了困在@嗨辣老孙 那里了？[偷笑] //@刘主饪: 回复@海科-七星智库:踏雪夜归人。  //@海科-七星智库:饮雪亦醉人[嘻嘻]
1,哈，南非一孙... //@妹莉十足:回复@共乐壶天:南非第一孙子.........[哈哈][哈哈][哈哈][哈哈] //@共乐壶天:南非第一孙子@独臂老宋 @妹莉十足
1,[鼓掌]//@权金城崔洪峰:扩散@权金城彭涌 @权金城-崔成哲 //@思想聚焦:转发微博
